iter	Passed	Remaining
777	5923	1690
778	5932	1682
779	5937	1674
780	5943	1666
781	5951	1658
782	5958	1651
783	5966	1643
784	5972	1635
785	5979	1628
786	5986	1620
787	5992	1612
788	5999	1604
789	6005	1596
790	6011	1588
791	6017	1580
792	6023	1572
793	6031	1564
794	6036	1556
795	6044	1548
796	6053	1541
797	6061	1534
798	6067	1526
799	6073	1518
800	6080	1510
801	6087	1502
802	6094	1495
803	6100	1487
804	6106	1479
805	6112	1471
806	6118	1463
807	6125	1455
808	6131	1447
809	6137	1439
810	6145	1432
811	6151	1424
812	6157	1416
813	6165	1408
814	6171	1400
815	6179	1393
816	6184	1385
817	6191	1377
818	6197	1369
819	6203	1361
820	6210	1353
821	6215	1345
822	6222	1338
823	6230	1330
824	6236	1322
825	6243	1315
826	6248	1307
827	6256	1299
828	6264	1292
829	6271	1284
830	6277	1276
831	6283	1268
832	6291	1261
833	6296	1253
834	6303	1245
835	6309	1237
836	6315	1229
837	6323	1222
838	6329	1214
839	6335	1206
840	6341	1198
841	6347	1191
842	6354	1183
843	6360	1175
844	6366	1167
845	6373	1160
846	6380	1152
847	6388	1145
848	6394	1137
849	6400	1129
850	6406	1121
851	6411	1113
852	6418	1106
853	6424	1098
854	6430	1090
855	6437	1083
856	6443	1075
857	6450	1067
858	6456	1059
859	6461	1051
860	6469	1044
861	6477	1037
862	6484	1029
863	6490	1021
864	6496	1013
865	6504	1006
866	6510	998
867	6518	991
868	6524	983
869	6531	975
870	6537	968
871	6543	960
872	6550	952
873	6555	945
874	6562	937
875	6569	929
876	6576	922
877	6584	914
878	6590	907
879	6596	899
880	6602	891
881	6608	884
882	6616	876
883	6622	868
884	6628	861
885	6635	853
886	6640	846
887	6648	838
888	6653	830
889	6659	823
890	6666	815
891	6672	807
892	6679	800
893	6688	792
894	6695	785
895	6701	777
896	6706	770
897	6714	762
898	6720	755
899	6727	747
900	6733	739
901	6739	732
902	6746	724
903	6753	717
904	6760	709
905	6766	702
906	6772	694
907	6780	686
908	6786	679
909	6793	671
910	6801	664
911	6808	657
912	6814	649
913	6820	641
914	6827	634
915	6833	626
916	6840	619
917	6846	611
918	6851	603
919	6860	596
920	6865	588
921	6872	581
922	6878	573
923	6885	566
924	6892	558
925	6901	551
926	6909	544
927	6915	536
928	6922	529
929	6928	521
930	6934	513
931	6941	506
932	6947	498
933	6955	491
934	6961	483
935	6967	476
936	6974	468
937	6980	461
938	6987	453
939	6993	446
940	6999	438
941	7008	431
942	7015	424
943	7022	416
944	7028	409
945	7035	401
946	7040	394
947	7046	386
948	7053	379
949	7061	371
950	7068	364
951	7074	356
952	7079	349
953	7086	341
954	7092	334
955	7098	326
956	7106	319
957	7112	311
958	7119	304
959	7125	296
960	7132	289
961	7137	281
962	7143	274
963	7152	267
964	7157	259
965	7164	252
